Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
15,A,report that unknown subject throw rock through the driv sid window and stol the list property from the lsit auto,Washington,DC,20036,38.9091419723445,-77.0384572168796,
15,A,report for that thru ent the list loc and stol the list property and ran and got into the list auto and fled wb on riv road,Washington,DC,20016,38.9487465815176,-77.0801503595398,
3,A,was found at the list loc suff from multipl gunshot wound was breath but unrespond and was transport to the hospit was attend to by med staff and admit,Washington,DC,20020,38.8452313764138,-76.9792277343395,
15,A,report for that som person took the list auto without permit had posses of the auto with permit at the tim of the theft had the key to the auto and the reg is with the auto,Washington,DC,,38.8482046602204,-76.9959910996987,
5,A,and report that unknown subject ent the list loc by cut the screen and break the glass to the rear door and ste the list property from the list loc,Washington,DC,20015,38.9585213454875,-77.0837630491911,
15,A,that unknown subject smash the passeng sid window and stol the list property from the list auto,Washington,MD,37921,38.9546917551933,-77.0696301860145,
15,A,report that unknown suspect brok the main gat and ent the prem ont insid they ent fent lot adjac to the off and stol the list property,Washington,DC,20002,38.9084345745039,-76.978018901106,
15,A,report that entry was gain into the list vehic by punch the door lock person bust the ste column and took the list item,Washington,DC,20002,38.9012864146311,-76.9751811542238,
15,A,stat that the list vehic was park at the list loc on the list dat and tim without the list also stat that the list vehic was dicov with the list item destroy along with the list property that was stol,Washington,DC,20002,38.9036961986541,-76.9923494948136,
5,A,report that subject unknown ent the af loc by break the lock on the bas door ont insid the list property was stol,Washington,DC,20001,38.9186438231028,-77.0135390780066,
5,A,report that subject unknown ent the list loc and ransack bedroom stat that noth was tak,Washington,DC,20002,38.9208293186202,-77.004571110384,
15,A,report that unknown subject stol the list property in an unknown man from the break room,Washington,DC,20037,38.901342904848,-77.0501240875597,
3,A,stat that he was look out his window at when sud produc two handgun and point them at then fled sou in the alley,Washington,DC,20002,38.9162468531777,-77.0020709351012,
20,A,report whil walk in the block approach her from behind produc black revolv stat hang up the phon giv me yo purs comply as point the handgun at her then demand wed ring which she turn ov,Washington,DC,20019,38.8938591847244,-76.9370359041728,
3,A,stat that dur an argu with his broth produc knif grab bar stool for protect the alterc was brok up by famy memb and the pol wer cal famy memb on the scen adv that held the knif in an,Washington,DC,20002,38.9202266875697,-77.0012994516861,
5,A,report unknown suspect ent his apart by push the ac unit out of the window into the liv room the suspect found saf in the closet took it the saf contain us cur the are was canvass,Washington,DC,20019,38.890652354866,-76.9541641455503,
15,A,report that unknown subject smash the passeng rear window and stol the list property from the list auto,Washington,DC,20016,38.9496541517483,-77.0795111193722,
15,A,report unknown person ent his vehic by break the door lock stol box of tool gps,Washington,DC,20020,38.870711435805,-76.9678057524561,
15,A,report the theft of his vehic did not giv anyon permit to us his vehc has key but left the spar in the vehic,Washington,DC,20019,38.8818478194433,-76.9256177641291,
15,A,report the theft of his vehic did not giv anyon permit to us his vehic has the key and reg are canvass teletyp check,Washington,DC,20019,38.8908855548141,-76.9487993874081,
20,A,the complain stat that she was approach by the suspect who brand silv handgun and stat giv me yo purs comply ent the list vehic on the passeng sid then fled,Washington,DC,20011,38.9483984681227,-77.040157606956,
