Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
15,A,licens plat stol vehic,Annandale,VA,,38.831796,-77.195306,
15,A,tabl saw stol vehic,Springfield,VA,22150,38.7814478,-77.1748775,
15,A,phon stol busy,Springfield,VA,22150,38.777368,-77.174197,
15,A,dvd play stol vehic,Alexandria,VA,22310,38.798334,-77.131348,
15,A,cash stol resid,Annandale,VA,,38.831796,-77.195306,
17,A,hond accord,Springfield,VA,22150,38.7857564,-77.1872707,
17,A,dodg nitro,Springfield,VA,22151,38.8016759,-77.1844259,
17,A,niss maxim,Annandale,VA,,38.834455,-77.217878,
17,A,ford,Alexandria,VA,22310,38.7959851,-77.1356849,
17,A,toyot sienn,Annandale,VA,,38.831796,-77.195306,
15,A,gps unit stol vehic,Annandale,VA,22003-6553,38.823844,-77.218505,
15,A,wallet stol school,Springfield,VA,22151,38.808234,-77.220782,
15,A,wheel tir stol vehic,Annandale,VA,,38.834455,-77.217878,
15,A,gps unit stol vehic,Burke,VA,22015,38.801246,-77.281131,
15,A,coat stol school,Fairfax,VA,22031,38.842514,-77.273057,
15,A,briefcas passport vehic docu stol vehic,Hinton,VA,,38.465858,-78.972194,
15,A,gps unit stol vehic,Fairfax,VA,22032,38.819186,-77.277156,
15,A,wallet stol vehic,Annandale,VA,,38.831796,-77.195306,
15,A,gps unit stol vehic,Fairfax,VA,22032,38.816434,-77.282759,
15,A,raz beer stol busy,,VA,,38.7973305,-77.2482414,
15,A,gps unit stol vehic,Annandale,VA,22003,38.82099,-77.216053,
15,A,sled stol resid,Annandale,VA,,38.831796,-77.195306,
17,A,hond civ,Springfield,VA,22152,38.79369,-77.239263,
17,A,mercedesbenz,Annandale,VA,22003,38.821906,-77.219444,
17,A,acur rsx,Burke,VA,22015,38.799941,-77.278115,
17,A,acur rsx,Burke,VA,22015,38.799941,-77.278115,
17,A,bmw,Annandale,VA,22003,38.828068,-77.217552,
17,A,mazd,Springfield,VA,22152,38.79552,-77.240985,
17,A,suzuk,Annandale,VA,,38.831796,-77.195306,
15,A,radio dashboard stol vehic,Chantilly,VA,20151,38.9048421,-77.4238249,
15,A,cellul phon stol resid,Herndon,VA,,38.936067,-77.413237,
15,A,liqu stol busy,Chantilly,VA,,38.883607,-77.439755,
15,A,cash stol busy,Fairfax,VA,22033,38.8576443,-77.392151,
15,A,ipod stol busy,Fairfax,VA,22033,38.8576443,-77.392151,
15,A,radio stol vehic,Chantilly,VA,,38.883607,-77.439755,
15,A,ipod car man stol vehic,Chantilly,VA,,38.877344,-77.408781,
15,A,gam system digit pict fram stol vehic,Fairfax,VA,22031,38.8718995,-77.2649539,
15,A,alcohol bev stol busy,Fairfax,VA,22033,38.8800745,-77.3947202,
17,A,hond civ,Herndon,VA,20171,38.9229364,-77.4100397,
1,B,incid org stat typ offens they list,Chantilly,VA,,38.88361,-77.439774,2009-5-17
1,B,show chain bridg road would mean block chain bridg,Chantilly,VA,,38.883607,-77.439755,2009-5-17
1,B,distribut offens,Chantilly,VA,,38.883607,-77.439755,2009-5-17
20,A,man victim robbery assault friday jun pol,Centreville,VA,,38.848484,-77.438927,2009-5-12
1,B,man arrest friday jun driv stol vehic an off driv,Centreville,VA,,38.83302,-77.450516,2009-5-12
1,B,three teen boy victim attempt robbery assault friday jun,Centreville,VA,20121,38.831606,-77.438577,2009-5-17
1,B,the us marsh serv arrest tyr harvey fix address around am,Annandale,VA,,38.831796,-77.195306,2009-5-17
1,B,wom charg forgery ut alleg commit check fraud,Alexandria,VA,22307,38.772648,-77.061045,2009-5-17
5,A,pol investig burgl occupy dwel occur thursday jun,Alexandria,VA,22306,38.7465974,-77.0917417,2009-5-17
1,B,man arrest thursday jun fir sev shot insid hom,Alexandria,VA,22307,38.770294,-77.069703,2009-5-11
5,A,man arrest break hom block payn street assault,Falls Church,VA,22041,38.853165,-77.132594,2009-5-17
20,A,pol charg man fil fals pol report sunday jun off respond,Alexandria,VA,22306,38.7802893,-77.0808007,2009-5-14
1,B,pol arrest man expos wom monday jun the,Alexandria,VA,,38.827251,-77.08789,2009-5-15
20,A,man rob bicyc wallet tuesday jun the victim,Alexandria,VA,22309,38.7430198,-77.1105329,2009-5-16
1,B,boy attempt rob boy thursday jun around pm,,VA,,38.849501,-77.127571,2009-5-11
5,A,pol charg man alleg brok apart stol item,Alexandria,VA,22312,38.8157841,-77.1447556,2009-5-17
1,B,girl victim attempt abduc saturday jun the victim,Falls Church,VA,22041,38.8506074,-77.1183636,2009-5-13
20,A,man victim robbery saturday jun around pm the victim,Falls Church,VA,22044,38.8670351,-77.1516858,2009-5-13
5,A,man arrest burgl acquaint hom block manitob,Alexandria,VA,22312,38.8185874,-77.1447755,2009-5-17
1,B,pol arrest man break hom block john court sunday jun,,VA,,38.890677,-77.148288,2009-5-17
5,A,man arrest burgl hom block leesburg court,Lorton,VA,22079,38.633331,-77.166672,2009-5-17
1,B,pol arrest man ste beer loc hum road,Hinton,WV,,37.709869,-80.814227,2009-5-17
